Q00ID,startlanguage,VVIQQ01[VVIQ01],VVIQQ01[VVIQ02],VVIQQ01[VVIQ03],VVIQQ01[VVIQ04],VVIQQ02[VVIQ05],VVIQQ02[VVIQ06],VVIQQ02[VVIQ07],VVIQQ02[VVIQ08],VVIQQ03[VVIQ09],VVIQQ03[VVIQ10],VVIQQ03[VVIQ11],VVIQQ03[VVIQ12],VVIQQ04[VVIQ13],VVIQQ04[VVIQ14],VVIQQ04[VVIQ15],VVIQQ04[VVIQ16],SUISQ02,SUISQ03,SUISQ04,SUISQ08,SUISQ01,SUISQ05,SUISQ06,SUISQ07,SUISQ09,SUISQ11,SUISQ10,SUISQ12,Q01AGE,Q02LANG,Q02LANG[other],Q03LANG,Q04SEX,Q04SEX[other],Q05EYE,Q06EAR,Q07FEEDBACK
1,en,2,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,1,3,2,2,1,2,1,1,1,3,1,1,23,1,,5,1,,2,1,
2,en,4,4,2,3,4,4,3,3,2,2,4,3,4,2,2,3,3,4,4,4,2,3,2,4,2,2,4,2,22,1,,5,1,,2,1,
3,en,3,4,3,4,3,4,2,2,4,2,2,3,2,3,2,3,4,3,2,3,1,4,4,1,2,4,4,4,25,1,,5,1,,1,1,
4,en,5,2,1,2,5,3,3,5,5,2,4,5,3,2,5,4,4,5,4,4,5,4,2,3,3,4,4,5,19,2,,5,2,,3,1,
5,en,3,2,3,4,4,4,5,2,3,3,2,3,3,2,4,4,3,2,2,4,3,3,1,1,2,2,2,1,26,-oth-,Slovak,5,1,,2,3,
6,en,2,3,1,1,1,1,1,1,4,3,4,2,3,2,2,1,1,1,5,1,4,1,2,1,2,1,1,2,22,1,,5,1,,1,2,
7,en,5,5,3,3,5,4,5,4,5,4,5,5,5,5,5,3,4,5,5,3,5,5,4,5,4,4,4,5,18,1,,5,2,,1,2,
8,en,5,5,5,5,4,4,4,4,5,4,5,5,5,5,5,4,4,5,4,5,4,5,2,3,4,1,4,4,20,1,,5,2,,2,1,
9,en,4,4,2,4,4,3,4,3,4,3,4,3,4,4,4,4,4,3,4,5,2,4,1,4,4,2,4,4,23,-oth-,Lithuanian,5,1,,1,1,I might've imagined things better if I first had 5 minutes to just sit and settle down.
10,en,4,3,2,4,3,4,4,4,4,3,4,3,5,3,4,3,3,4,4,4,5,2,1,1,4,2,2,4,21,1,,5,1,,2,1,
12,en,3,1,3,3,4,2,1,4,4,5,5,5,4,3,4,3,2,4,5,4,1,4,2,1,2,3,2,2,20,1,,5,2,,1,1,
13,en,4,4,3,5,4,4,4,3,4,3,4,4,4,4,4,3,3,5,4,4,3,5,2,3,4,2,5,4,18,-oth-,Indonesian,5,2,,2,2,
14,en,4,3,4,4,4,3,4,5,4,4,3,4,4,3,4,4,2,4,5,2,4,4,2,5,5,5,4,5,20,1,,5,2,,1,2,
15,en,4,5,3,4,4,4,2,2,4,4,3,4,3,4,3,2,2,4,4,5,4,4,2,3,4,3,4,4,20,-oth-,german,5,2,,3,1,
16,en,5,4,2,3,4,4,3,4,4,2,2,3,4,4,3,4,4,2,3,4,2,4,1,1,2,3,3,5,22,-oth-,German ,5,1,,1,1,
17,en,3,3,2,3,3,3,3,3,3,2,3,2,2,2,2,2,2,3,4,4,1,3,1,3,2,1,4,4,26,1,,4,2,,1,1,
18,en,5,4,5,2,4,3,2,2,4,4,3,4,3,4,4,5,4,5,2,3,3,4,3,5,4,3,4,4,21,-oth-,Frisian,5,1,,2,2,
19,en,2,3,3,4,4,4,4,4,3,3,3,3,3,2,3,3,2,4,3,3,5,3,2,5,4,3,4,5,23,1,,5,2,,1,1,
20,en,4,4,2,4,3,5,4,4,5,4,5,5,4,4,4,3,4,2,4,4,5,4,2,4,5,4,5,4,20,1,,4,2,,2,2,
21,en,3,4,4,4,4,4,4,3,4,4,3,3,3,3,4,4,4,2,4,3,3,3,1,5,4,2,4,4,19,1,,5,2,,2,2,"I sometimes found myself so focused on keeping my gaze fixed on the dot on screen, that I forgot to keep visualizing. But I picked my imagination back up every time."
22,en,3,3,1,4,4,4,4,3,5,3,4,4,4,3,4,4,2,3,4,4,2,4,2,5,3,2,4,2,20,-oth-,German,3,2,,2,3,
23,en,3,5,4,4,5,5,3,4,5,4,2,4,4,5,4,4,5,5,4,5,2,5,3,4,3,4,5,4,20,1,,5,2,,2,2,
24,en,3,4,3,4,4,4,3,2,4,3,4,2,2,3,3,4,4,4,5,3,3,3,2,4,4,3,4,4,19,-oth-,German,5,2,,2,2,
25,en,5,4,5,3,3,4,5,4,5,4,5,4,3,4,4,5,4,1,5,3,4,5,3,5,2,4,3,5,19,-oth-,romanian,5,2,,1,1,i thought that this experiment was very well designed
